Date : 2022-04-30 20:47:46
Directory : /Users/rhodes/Documents/School Stuff/SWE/ninjadroid
Total : 112 files,  6773 codes, 343 comments, 1180 blanks, all 8296 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers/StepEndLocation.java     | Java       |         11 |          1 |          4 |         16 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers/StepStartLocation.java   | Java       |         11 |          1 |          4 |         16 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/HistoryContainer.java                         | Java       |         53 |          2 |         21 |         76 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/LocationContainer.java                        | Java       |         58 |          0 |         16 |         74 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/ProfileContainer.java                         | Java       |         48 |          0 |         13 |         61 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/RouteContainer.java                           | Java       |         52 |          0 |         17 |         69 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/SharedContainer.java                          | Java       |         36 |          2 |         15 |         53 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/UserRouteContainer.java                       | Java       |         47 |          0 |         16 |         63 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/AddHistory.java                                    | Java       |         90 |          9 |         16 |        115 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/GetDirections.java                                 | Java       |         64 |          4 |         13 |         81 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/GetProfile.java                                    | Java       |         48 |          6 |         12 |         66 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/GetRoute.java                                      | Java       |         51 |          4 |         10 |         65 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/PostRoute.java                                     | Java       |        107 |          3 |         26 |        136 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/SearchRoutes.java                                  | Java       |         55 |          4 |         16 |         75 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/ShareRoute.java                                    | Java       |         79 |          4 |         19 |        102 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/callbacks/DirectionsCallback.java                  | Java       |          5 |          0 |          4 |          9 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/callbacks/RouteCallback.java                       | Java       |          5 |          0 |          3 |          8 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/callbacks/SearchRoutesCallback.java                | Java       |          6 |          0 |          4 |         10 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/webServices/callbacks/VolleyProfileCallback.java               | Java       |          5 |          0 |          2 |          7 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable-v24/ic_launcher_foreground.xml                                            | XML        |         30 |          0 |          0 |         30 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable-xhdpi/ic_baseline_shared.xml                                              | XML        |         11 |          0 |          1 |         12 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/btn_left_side.xml                                                         | XML        |         23 |          0 |          3 |         26 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/btn_right_side.xml                                                        | XML        |         23 |          0 |          3 |         26 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/clock_background.xml                                                      | XML        |         12 |          0 |          0 |         12 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/filter_background.xml                                                     | XML        |         13 |          0 |          0 |         13 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_account_box.xml                                                        | XML        |          5 |          0 |          1 |          6 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_arrow_drop_down_24.xml                                        | XML        |          5 |          0 |          1 |          6 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_flag_24.xml                                                   | XML        |          5 |          0 |          1 |          6 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_history_24.xml                                                | XML        |          5 |          0 |          1 |          6 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_login_24.xml                                                  | XML        |          5 |          0 |          1 |          6 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_map_24.xml                                                    | XML        |          5 |          0 |          1 |          6 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_baseline_search_24.xml                                                 | XML        |          5 |          0 |          1 |          6 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_circle_green.xml                                                       | XML        |          5 |          0 |          1 |          6 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/ic_launcher_background.xml                                                | XML        |        170 |          0 |          1 |        171 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/drawable/map_mode_selector_title_background.xml                                    | XML        |         10 |          0 |          0 |         10 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_edit.xml                                                           | XML        |        133 |          0 |         15 |        148 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_friend.xml                                                         | XML        |         78 |          0 |          9 |         87 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_login.xml                                                          | XML        |         78 |          0 |         10 |         88 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_main.xml                                                           | XML        |         34 |          0 |          7 |         41 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_register.xml                                                       | XML        |        147 |          0 |         17 |        164 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/activity_route.xml                                                          | XML        |        139 |          0 |         14 |        153 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_followers.xml                                                      | XML        |         16 |          0 |          2 |         18 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_following.xml                                                      | XML        |         39 |          0 |          4 |         43 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_history.xml                                                        | XML        |         26 |          0 |          3 |         29 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_map.xml                                                            | XML        |        109 |          0 |         11 |        120 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_my_route.xml                                                       | XML        |         25 |          0 |          3 |         28 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_profile.xml                                                        | XML        |        103 |          0 |         10 |        113 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_search.xml                                                         | XML        |         82 |          0 |         10 |         92 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_dropdown.xml                                                      | XML        |         10 |          0 |          0 |         10 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_follower.xml                                                      | XML        |         44 |          0 |          7 |         51 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_friend.xml                                                        | XML        |         76 |          0 |          7 |         83 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_history.xml                                                       | XML        |        104 |          0 |         10 |        114 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_my_routes.xml                                                     | XML        |         85 |          0 |          8 |         93 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_searched_route.xml                                                | XML        |         80 |          0 |         10 |         90 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_shared_route.xml                                                  | XML        |         82 |          0 |          9 |         91 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/nav_header.xml                                                              | XML        |         20 |          0 |          3 |         23 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/send_route_dialogue_layout.xml                                              | XML        |         35 |          0 |          6 |         41 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/menu/drawer_menu.xml                                                               | XML        |         44 |          0 |         10 |         54 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/menu/popup_menu.xml                                                                | XML        |          6 |          0 |          2 |          8 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/menu/popup_menu2.xml                                                               | XML        |          6 |          0 |          2 |          8 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml                                                  | XML        |          5 |          0 |          0 |          5 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml                                            | XML        |          5 |          0 |          0 |          5 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values-land/dimens.xml                                                             | XML        |          3 |          0 |          0 |          3 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values-night/themes.xml                                                            | XML        |         11 |          5 |          0 |         16 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values-w1240dp/dimens.xml                                                          | XML        |          3 |          0 |          0 |          3 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values-w600dp/dimens.xml                                                           | XML        |          3 |          0 |          0 |          3 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values/colors.xml                                                                  | XML        |         11 |          0 |          0 |         11 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values/dimens.xml                                                                  | XML        |          7 |          1 |          0 |          8 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values/strings.xml                                                                 | XML        |         63 |          7 |         14 |         84 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values/themes.xml                                                                  | XML        |         21 |          6 |          3 |         30 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/test/java/com/ninjadroid/app/utils/UtilsTest.java                                           | Java       |         37 |          0 |         12 |         49 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/build.gradle                                                                                        | Groovy     |         19 |          3 |          3 |         25 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/gradle.properties                                                                                   | Properties |          3 |         16 |          0 |         19 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/gradle/wrapper/gradle-wrapper.properties                                                            | Properties |          5 |          1 |          1 |          7 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/gradlew.bat                                                                                         | Batch      |         61 |          0 |         24 |         85 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/settings.gradle                                                                                     | Groovy     |          2 |          0 |          0 |          2 |
| Total                                                                                                                                                   |            |      6,773 |        343 |      1,180 |      8,296 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
